start,end,time_inst,p1_1,p1_2,p1_3,p2_1,p2_2,p2_3,p3_1,p3_2,p3_3,p5_1,p5_2,p5_3,p6_1,p6_2,p6_3,p7_1,p7_2,p7_3,p8_1,p8_2,p8_3,p9_1,p9_2,p9_3,p10_1,p10_2,p10_3,p11_1,p11_2,p11_3,p12_1,p12_2,p12_3,p13_1,p13_2,p13_3,p14_1,p14_2,p14_3,p15_1,p15_2,p15_3,p16_1,p16_2,p16_3,p17_1,p17_2,p17_3,p18_1,p18_2,p18_3,p19_1,p19_2,p19_3,p20_1,p20_2,p20_3,p21_1,p21_2,p21_3,p22_1,p22_2,p22_3,p23_1,p23_2,p23_3,p24_1,p24_2,p24_3,p25_1,p25_2,p25_3,p26_1,p26_2,p26_3,p27_1,p27_2,p27_3,p28_1,p28_2,p28_3,p29_1,p29_2,p29_3,p30_1,p30_2,p30_3,p31_1,p31_2,p31_3,p32_1,p32_2,p32_3,p33_1,p33_2,p33_3,p34_1,p34_2,p34_3,p35_1,p35_2,p35_3,p36_1,p36_2,p36_3,p37_1,p37_2,p37_3,p38_1,p38_2,p38_3,p39_1,p39_2,p39_3,p40_1,p40_2,p40_3
5/25/17 1:32,5/25/17 1:36,21.576,,,,,,,,,,,,,,,,0,50,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,51,1,,,,,,,,,,,,,,,,1,51,1,1,100,1,100,50,1,,,,1,1,1,,,,,,,,,,100,51,99,,,,1,1,1,,,,,,,,,,,,,100,0,100,,,
5/25/17 1:32,5/25/17 1:37,23.819,,,,,,,43,48,10,,,,83,95,51,,,,,,,,,,,,,,,,,,,10,90,5,,,,,,,,,,,,,,,,,,,,,,,,,39,22,39,18,50,10,,,,,,,,,,9,21,8,,,,,,,96,48,41,31,74,18,,,,,,,,,,,,,73,72,32,,,,88,73,49,,,,,,
5/25/17 1:32,5/25/17 1:37,23.46,73,91,67,67,91,61,,,,,,,,,,,,,82,96,62,80,83,49,75,89,57,21,71,6,70,80,49,,,,,,,,,,49,81,11,,,,,,,73,36,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,82,14,,,,,,,,,,,,,,,,,,,,,
5/25/17 1:32,5/25/17 1:38,54.471,,,,,,,,,,65,74,39,,,,,,,,,,,,,,,,,,,,,,,,,26,21,30,31,20,45,,,,,,,,,,,,,4,1,1,20,18,41,69,83,64,,,,,,,,,,,,,,,,,,,,,,54,60,71,,,,,,,,,,,,,52,52,37,,,,,,,23,22,38,,,,13,8,60
5/25/17 1:36,5/25/17 1:38,23.142,,,,,,,,,,53,55,54,,,,,,,,,,,,,,,,,,,45,35,40,,,,,,,,,,27,34,37,,,,,,,,,,52,46,36,,,,,,,,,,,,,,,,49,45,51,,,,,,,,,,54,53,57,,,,50,45,45,53,39,43,,,,47,51,50,,,,40,47,37,,,,,,,,,
5/25/17 1:34,5/25/17 1:40,31.304,,,,,,,,,,71,93,62,68,72,78,75,51,78,51,54,81,55,55,55,51,50,90,,,,,,,51,51,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,70,67,,,,,,,,,,,,,,,,,,,,,,78,78,79,,,,,,,50,60,62
5/25/17 1:33,5/25/17 1:41,63.359,,,,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,0,0,0,0,51,0,,,,,,,0,55,20,,,,0,50,0,,,,0,50,0,,,,,,,0,0,0,,,,,,,,,,0,50,0,,,,,,,,,,0,5,0,,,
5/25/17 1:33,5/25/17 1:45,69.943,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,40,30,20,80,20,,,,15,50,15,,,,20,50,20,,,,,,,,,,,,,,,,,,,,,,,,,52,90,52,,,,52,90,52,,,,,,,,,,,,,95,95,95,10,50,10,40,75,40,,,,30,75,30,,,,,,,,,,,,
5/25/17 1:33,5/25/17 1:51,29.631,89,97,61,,,,87,96,63,,,,,,,,,,,,,,,,,,,57,83,34,,,,,,,,,,,,,,,,70,93,61,0,20,4,32,77,6,,,,,,,,,,39,33,68,,,,,,,,,,0,69,0,,,,,,,,,,,,,,,,,,,66,11,2,,,,58,85,15,,,,,,,,,,,,
5/25/17 2:05,5/25/17 2:11,87.482,,,,70,72,20,,,,,,,,,,,,,,,,,,,4,5,3,,,,,,,13,6,13,81,93,50,,,,,,,,,,,,,,,,,,,62,30,67,,,,51,19,50,,,,71,71,40,50,25,36,,,,,,,,,,62,83,57,,,,,,,,,,,,,,,,29,62,18,,,,,,,,,,,,
5/25/17 2:07,5/25/17 2:12,48.788,,,,,,,76,75,78,,,,,,,,,,,,,29,41,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,20,28,,,,,,,45,57,54,,,,,,,19,22,22,70,72,73,,,,,,,,,,,,,73,63,70,32,34,30,62,62,64,,,,,,,49,55,53,,,,,,
5/25/17 2:06,5/25/17 2:12,52.037,,,,,,,,,,,,,2,98,0,2,97,4,98,3,98,96,3,100,,,,,,,,,,,,,,,,,,,,,,2,0,100,,,,,,,,,,,,,54,3,53,,,,,,,,,,,,,,,,4,3,3,,,,,,,100,100,54,,,,,,,,,,,,,,,,,,,100,100,100,4,2,0,,,
5/25/17 2:06,5/25/17 2:14,43.662,,,,,,,,,,0,10,80,,,,100,100,100,,,,,,,0,90,0,,,,,,,,,,,,,0,20,80,,,,,,,,,,20,80,20,0,90,0,,,,,,,,,,,,,20,90,40,,,,,,,,,,,,,,,,0,100,0,,,,,,,,,,,,,,,,80,20,100,,,,0,90,20,,,
5/25/17 2:06,5/25/17 2:17,148.115,80,49,11,,,,,,,,,,52,53,53,,,,,,,,,,,,,20,40,40,79,78,73,,,,31,31,54,,,,,,,55,57,57,,,,,,,,,,,,,69,70,64,50,42,11,,,,,,,,,,,,,,,,72,72,28,,,,,,,71,71,72,,,,,,,,,,,,,,,,,,,,,,,,
5/25/17 2:09,5/25/17 2:18,50.298,,,,,,,,,,,,,,,,,,,,,,7,16,8,,,,,,,,,,,,,,,,,,,5,5,10,,,,,,,,,,6,7,30,5,6,49,7,29,19,,,,,,,1,51,18,,,,,,,,,,,,,,,,19,74,93,,,,9,29,7,,,,,,,82,82,47,1,28,51,,,,,,,,,
5/25/17 2:13,5/25/17 2:18,43.312,,,,,,,,,,,,,86,98,62,20,21,26,,,,,,,,,,,,,,,,8,11,10,,,,,,,,,,7,8,7,,,,,,,,,,,,,,,,,,,5,3,6,,,,,,,30,17,42,9,8,15,,,,,,,,,,,,,,,,28,45,29,2,3,6,,,,,,,91,97,88,,,,,,
5/25/17 2:19,5/25/17 2:25,30.742,,,,90,100,100,100,100,100,,,,,,,,,,,,,,,,0,40,10,0,20,5,,,,,,,,,,,,,,,,,,,0,0,0,5,15,0,,,,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,,,,,,,,,,50,75,100,,,,,,,,,,,,,,,,,,,,,,50,65,75
5/25/17 2:22,5/25/17 2:28,30.167,,,,65,40,80,,,,,,,,,,,,,30,40,60,,,,20,9,70,,,,,,,,,,5,40,60,,,,,,,,,,,,,,,,1,1,30,75,60,80,,,,,,,,,,1,1,70,,,,,,,,,,,,,,,,,,,75,75,90,60,40,75,,,,,,,,,,,,,,,,10,5,80,,,
5/25/17 2:38,5/25/17 2:42,21.848,,,,,,,,,,0,41,11,,,,50,100,0,100,100,0,,,,,,,,,,,,,,,,0,50,50,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,9,18,93,,,,,,,27,100,0,,,,,,,,,,,,,,,,,,,,,,,,,60,100,3,100,60,50,,,,0,0,0,,,
5/25/17 2:41,5/25/17 2:42,21.13,,,,,,,,,,,,,,,,50,50,51,,,,,,,,,,49,48,48,,,,,,,50,51,50,,,,51,51,50,,,,,,,,,,,,,50,50,50,,,,,,,,,,46,47,47,,,,,,,,,,,,,51,51,50,,,,50,50,51,,,,51,50,49,48,47,47,,,,,,,,,,,,,,,
5/25/17 2:41,5/25/17 2:43,86.67,57,48,53,,,,,,,,,,47,48,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,26,43,39,44,29,,,,47,46,46,49,48,47,,,,,,,,,,49,49,50,,,,40,41,42,,,,,,,,,,,,,50,50,51,,,,,,,,,,29,48,29,,,,,,
5/25/17 2:39,5/25/17 2:43,24.259,30,60,18,,,,,,,,,,,,,,,,,,,3,3,3,,,,,,,,,,80,100,50,,,,,,,,,,41,47,43,,,,,,,,,,,,,83,40,80,,,,,,,,,,,,,,,,63,36,62,50,53,53,21,46,28,49,56,60,,,,,,,19,30,17,,,,,,,,,,,,,,,,,,
5/25/17 2:39,5/25/17 2:43,106.942,98,99,99,99,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,92,90,,,,77,78,78,,,,,,,75,74,74,,,,81,81,81,,,,,,,,,,,,,62,64,65,,,,,,,,,,,,,,,,,,,,,,97,98,99,99,100,100,1,1,1,,,
5/25/17 2:43,5/25/17 2:44,22.417,,,,,,,,,,,,,,,,55,97,81,42,71,62,,,,44,32,65,,,,57,75,66,,,,,,,,,,70,59,48,,,,,,,,,,57,83,64,,,,,,,,,,83,60,60,,,,50,80,69,,,,,,,,,,66,78,73,,,,,,,,,,,,,51,48,77,,,,,,,,,,,,,,,
5/25/17 2:39,5/25/17 2:45,22.745,,,,,,,45,86,23,,,,72,100,20,,,,,,,,,,,,,,,,71,95,57,,,,,,,30,85,38,65,95,19,,,,,,,18,50,5,,,,,,,,,,14,26,6,,,,,,,25,50,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,66,51,,,,44,91,33
5/25/17 2:40,5/25/17 2:49,36.475,,,,,,,99,90,50,70,75,70,,,,,,,75,60,70,15,50,15,,,,1,50,1,,,,,,,,,,1,50,1,,,,,,,,,,,,,,,,5,50,10,,,,,,,,,,50,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50,2,,,,,,,,,,,,,60,55,55
5/25/17 2:44,5/25/17 2:51,23.862,,,,,,,60,50,80,60,40,50,,,,,,,,,,,,,,,,,,,,,,40,51,52,,,,50,71,40,,,,61,48,52,,,,,,,,,,,,,,,,10,20,0,,,,,,,,,,,,,,,,,,,,,,,,,71,53,41,80,40,30,,,,,,,,,,,,,,,,60,50,50,34,60,50
5/25/17 3:13,5/25/17 3:16,23.184,68,78,61,61,65,57,,,,,,,,,,,,,,,,,,,70,64,74,60,58,56,57,100,100,,,,70,65,75,60,60,59,,,,,,,57,59,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,65,66,,,,,,,,,,,,,,,,38,35,23,,,
5/25/17 3:14,5/25/17 3:16,31.677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,16,17,11,60,62,,,,,,,,,,54,50,47,,,,,,,,,,,,,46,43,50,49,50,47,,,,47,47,49,5,6,6,,,,14,68,67,43,46,42,12,49,48,,,,,,,,,,,,,,,,,,
5/25/17 3:14,5/25/17 3:20,29.95,,,,,,,,,,,,,58,51,48,,,,,,,68,54,62,69,60,67,,,,,,,41,72,54,,,,67,61,65,,,,,,,62,52,63,,,,,,,,,,,,,62,50,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,56,75,73,65,73,45,60,50
5/25/17 3:16,5/25/17 3:20,37.632,,,,,,,95,86,57,,,,,,,35,65,76,,,,42,72,71,,,,,,,25,70,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,54,70,,,,62,66,82,,,,,,,,,,19,34,80,,,,,,,67,83,34,,,,,,,,,,,,,42,80,53,84,83,62,,,,,,,,,
5/25/17 3:12,5/25/17 3:20,35.368,,,,,,,,,,80,90,10,,,,,,,100,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,90,0,,,,,,,,,,,,,0,100,0,,,,0,100,10,10,100,10,,,,,,,10,70,0,,,,,,,10,100,10,,,,70,60,20,,,,70,100,50,,,,,,
5/25/17 3:13,5/25/17 3:21,26.557,,,,,,,,,,,,,93,100,20,39,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,100,12,,,,34,76,52,,,,29,51,42,,,,15,75,21,29,82,37,,,,0,72,0,,,,,,,51,77,22,,,,,,,82,100,9,,,,,,,,,,,,,,,,,,,,,,,,
5/25/17 3:12,5/25/17 3:21,46.025,66,88,81,,,,70,89,90,,,,,,,,,,,,,,,,,,,72,92,82,,,,30,47,26,,,,,,,87,87,88,,,,,,,,,,,,,,,,50,66,58,,,,,,,,,,,,,,,,,,,,,,71,83,84,,,,,,,,,,,,,40,63,34,,,,72,92,92,,,,,,,62,84,66
5/25/17 3:19,5/25/17 3:22,32.594,,,,49,68,35,,,,67,52,27,,,,,,,83,66,71,,,,,,,,,,,,,,,,81,67,78,,,,,,,,,,,,,79,66,77,77,61,73,,,,66,49,39,,,,,,,71,64,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,49,38,68,29,59,,,,,,,,,,,,
5/25/17 3:28,5/25/17 3:33,22.556,,,,100,42,56,100,100,95,,,,100,100,15,,,,,,,,,,61,80,29,,,,,,,,,,,,,,,,,,,,,,6,3,1,,,,,,,,,,,,,,,,,,,,,,13,93,1,35,100,26,18,95,8,,,,100,100,85,,,,,,,,,,18,91,13,,,,,,,,,,,,,,,,,,
5/25/17 3:43,5/25/17 3:44,31.803,,,,,,,,,,,,,,,,45,67,55,,,,43,64,54,,,,20,59,45,56,70,47,71,45,29,,,,,,,,,,,,,,,,42,58,49,68,43,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,50,74,43,53,50,,,,62,52,55,,,,,,,,,,,,,,,
5/25/17 3:43,5/25/17 3:46,26.016,,,,,,,,,,97,100,19,,,,,,,100,100,14,,,,,,,48,48,62,75,98,30,58,4,5,,,,,,,,,,,,,,,,,,,,,,27,28,66,,,,49,24,81,,,,,,,,,,,,,,,,,,,,,,,,,37,29,68,,,,,,,86,100,33,,,,,,,,,,50,50,72,,,
5/25/17 3:45,5/25/17 3:50,38.842,100,100,100,100,100,100,,,,,,,,,,50,30,20,100,100,100,,,,,,,,,,,,,,,,40,70,10,,,,50,30,70,25,35,75,,,,,,,,,,,,,91,93,98,,,,,,,,,,,,,,,,,,,,,,,,,8,30,20,,,,,,,,,,,,,,,,,,,100,99,80,,,,,,
5/25/17 3:44,5/25/17 3:51,61.068,95,20,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,90,75,30,20,50,40,10,30,,,,,,,,,,,,,,,,,,,,,,75,70,65,30,5,15,,,,,,,,,,70,45,85,,,,10,5,0,,,,,,,,,,,,,,,,80,90,80,,,,,,,80,70,85
5/25/17 3:45,5/25/17 3:52,252.329,,,,,,,,,,33,56,64,,,,,,,,,,51,54,98,57,53,58,,,,,,,40,40,79,,,,,,,76,76,87,,,,,,,,,,,,,,,,,,,,,,37,37,91,71,71,38,,,,73,89,50,,,,,,,,,,,,,,,,,,,,,,,,,43,45,92,,,,,,,30,29,88,,,
5/25/17 3:47,5/25/17 3:53,48.054,,,,,,,90,90,90,90,50,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,70,40,,,,20,70,30,,,,,,,,,,90,90,50,,,,,,,,,,,,,15,50,10,,,,50,50,25,15,15,10,,,,,,,,,,,,,,,,,,,70,90,50,90,90,90,,,,,,,,,
5/25/17 4:01,5/25/17 4:03,23.147,,,,62,77,24,,,,,,,45,86,6,62,52,57,63,56,34,,,,,,,,,,,,,,,,,,,81,81,72,,,,,,,7,81,5,,,,,,,,,,75,67,76,,,,,,,,,,,,,,,,86,77,73,,,,,,,,,,,,,,,,43,73,24,63,75,15,,,,,,,,,,,,,,,
5/25/17 4:24,5/25/17 4:25,23.646,69,62,58,,,,71,60,61,,,,,,,64,71,58,74,64,59,,,,,,,,,,60,43,55,,,,,,,,,,,,,,,,,,,,,,70,59,55,70,57,62,,,,,,,,,,67,55,55,,,,,,,,,,,,,,,,,,,67,55,61,,,,,,,65,55,67,,,,,,,,,,,,,,,
5/25/17 4:24,5/25/17 4:27,49.5,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,29,39,26,,,,15,1,6,32,55,50,,,,,,,,,,,,,,,,,,,,,,9,8,8,70,74,68,,,,,,,,,,,,,,,,,,,,,,76,62,68,75,55,59,,,,,,,,,,,,,77,59,67,,,,12,13,15,,,
5/25/17 4:22,5/25/17 4:29,92.816,,,,,,,,,,31,20,27,,,,,,,,,,,,,13,18,9,,,,,,,,,,,,,,,,,,,,,,3,1,1,22,19,29,1,1,6,,,,,,,,,,10,4,7,6,9,20,19,19,19,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,16,16,23,,,,,,,,,,,,
5/25/17 4:27,5/25/17 4:30,43.046,,,,27,23,27,,,,,,,,,,,,,24,33,29,,,,,,,,,,55,47,42,,,,,,,47,44,47,,,,,,,,,,,,,,,,19,17,17,,,,,,,27,25,24,,,,,,,,,,50,62,39,,,,,,,,,,,,,28,26,28,,,,,,,,,,35,43,25,,,,,,,44,54,38
5/25/17 4:23,5/25/17 4:30,22.062,,,,,,,,,,,,,,,,,,,,,,,,,19,66,18,,,,,,,,,,12,94,6,,,,,,,,,,,,,24,87,62,,,,,,,,,,,,,40,89,88,,,,,,,,,,,,,,,,49,55,45,13,87,8,,,,49,51,75,,,,,,,,,,18,81,82,90,99,11,21,15,12,,,
5/25/17 4:26,5/25/17 4:30,23.395,,,,,,,,,,,,,75,70,47,,,,,,,42,73,8,,,,,,,40,62,22,,,,,,,58,53,47,30,48,18,60,75,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,39,27,30,100,38,,,,,,,,,,30,41,15,,,,,,,,,,50,100,22,,,,,,
5/25/17 4:28,5/25/17 4:31,30.795,2,0,0,,,,,,,,,,0,0,22,,,,,,,,,,0,0,76,,,,,,,2,2,72,,,,,,,,,,2,2,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,2,0,61,,,,,,,,,,0,0,17,,,,,,,,,,0,0,0,,,
5/25/17 4:27,5/25/17 4:32,23.082,,,,,,,,,,56,52,46,,,,,,,,,,34,36,37,,,,64,66,59,,,,,,,29,31,26,,,,,,,,,,,,,,,,41,47,39,,,,40,45,39,,,,,,,43,45,48,28,24,24,,,,58,63,53,,,,,,,,,,,,,,,,58,52,56,,,,,,,,,,,,,,,,,,
5/25/17 4:35,5/25/17 4:44,64.345,,,,100,100,20,100,100,0,,,,,,,51,70,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,20,0,,,,,,,,,,,,,,,,,,,50,35,74,,,,100,100,50,0,0,0,,,,,,,70,80,50,,,,100,100,85,,,,100,100,35
5/25/17 4:54,5/25/17 4:59,36.474,,,,,,,,,,47,95,100,,,,,,,17,85,99,90,100,100,,,,,,,,,,8,82,99,,,,,,,64,96,100,,,,74,91,96,69,95,98,,,,,,,,,,,,,,,,51,98,100,,,,,,,,,,,,,,,,,,,,,,41,99,100,,,,,,,,,,,,,,,,3,3,100,,,
5/25/17 4:55,5/25/17 5:00,61.609,,,,,,,,,,,,,,,,30,30,27,,,,,,,,,,,,,,,,,,,52,85,42,16,80,67,,,,,,,,,,,,,,,,44,57,31,6,6,6,,,,4,27,25,,,,16,44,53,,,,28,77,42,1,7,77,,,,,,,,,,,,,22,46,29,,,,,,,,,,,,,,,,,,
5/25/17 4:55,5/25/17 5:02,45.462,81,97,78,80,96,83,,,,,,,,,,,,,,,,,,,,,,34,52,40,,,,,,,,,,,,,61,85,67,43,70,27,49,40,30,52,72,62,,,,,,,,,,47,39,17,,,,,,,,,,,,,,,,,,,,,,,,,54,79,64,,,,,,,,,,,,,,,,66,80,65,,,,,,
5/25/17 4:55,5/25/17 5:02,95.768,,,,,,,,,,,,,,,,60,71,30,,,,,,,,,,,,,100,100,100,,,,49,71,40,,,,,,,,,,,,,,,,60,41,72,39,61,49,73,62,100,,,,81,83,100,,,,,,,,,,,,,40,40,69,,,,81,100,94,,,,,,,,,,,,,,,,,,,,,,,,,100,100,94
5/25/17 4:56,5/25/17 5:04,47.354,,,,,,,,,,,,,20,92,5,,,,,,,26,50,58,8,78,5,,,,,,,,,,,,,61,4,54,8,82,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,57,5,,,,,,,,,,70,23,49,,,,,,,,,,,,,25,62,16,62,48,25,9,8,6,,,
5/25/17 4:56,5/25/17 5:06,51.841,,,,89,50,76,,,,,,,70,80,60,,,,100,50,76,,,,,,,,,,,,,0,0,0,,,,,,,,,,80,61,70,,,,40,30,30,,,,,,,,,,,,,,,,60,45,45,,,,,,,,,,,,,80,70,80,,,,,,,,,,19,72,15,29,80,30,,,,,,,,,,,,,,,
5/25/17 5:00,5/25/17 5:06,58.238,93,17,67,89,90,78,88,15,28,,,,,,,,,,91,93,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,42,3,,,,11,10,5,6,59,17,,,,,,,,,,,,,,,,99,74,87,,,,,,,,,,,,,3,72,5,,,,,,,,,,,,,8,82,41
5/25/17 4:55,5/25/17 5:11,187.415,20,10,20,,,,20,20,10,50,50,35,,,,,,,,,,,,,,,,0,0,0,70,70,40,,,,,,,,,,,,,,,,0,75,20,,,,,,,,,,,,,,,,,,,,,,10,90,20,0,0,0,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,50,20,,,,,,,,,,,,
5/25/17 5:28,5/25/17 5:31,23.637,,,,,,,3,4,7,,,,,,,,,,,,,5,6,8,3,4,4,,,,,,,,,,1,1,2,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,4,5,7,,,,,,,4,4,5,,,,2,3,4,,,,4,4,4,,,,,,,,,,,,,,,,,,,,,,4,5,4,,,
5/25/17 5:27,5/25/17 5:31,24.878,,,,,,,,,,,,,1,81,1,,,,,,,,,,,,,,,,,,,19,24,1,,,,,,,,,,,,,,,,51,61,84,10,19,3,,,,,,,11,20,1,,,,,,,,,,6,49,27,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,62,76,77,35,53,31,2,1,1,,,
5/25/17 5:28,5/25/17 5:33,22.105,,,,,,,,,,,,,72,63,64,,,,,,,,,,,,,,,,,,,72,50,40,,,,,,,,,,,,,20,16,8,,,,,,,,,,,,,,,,,,,,,,50,56,49,,,,49,45,50,,,,61,39,39,72,62,55,,,,,,,,,,40,51,43,72,51,55,,,,57,64,55,,,,,,
5/25/17 5:27,5/25/17 5:34,24.998,,,,,,,,,,67,83,12,,,,4,9,6,,,,18,63,15,,,,31,11,5,,,,,,,,,,,,,,,,,,,31,21,15,,,,,,,,,,,,,,,,,,,9,10,8,,,,,,,16,17,53,65,74,21,,,,,,,,,,,,,5,15,12,,,,18,58,65,,,,,,,,,,,,
5/25/17 5:29,5/25/17 5:34,25.436,55,65,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,80,55,15,58,7,,,,,,,10,45,5,,,,,,,,,,,,,,,,31,72,26,,,,,,,,,,,,,10,31,8,,,,41,34,11,,,,40,74,45,,,,,,,,,,,,,,,,,,,,,,20,79,16,60,84,58
5/25/17 5:28,5/25/17 5:35,24.207,65,80,90,,,,,,,,,,,,,,,,100,0,100,,,,,,,,,,40,40,50,,,,,,,10,90,5,30,30,40,25,65,33,,,,,,,,,,,,,,,,,,,,,,10,16,10,,,,,,,,,,,,,,,,,,,,,,5,5,5,,,,,,,,,,15,60,10,,,,,,,10,40,10
5/25/17 5:29,5/25/17 5:35,39.895,,,,98,98,98,,,,57,57,50,,,,45,45,51,,,,,,,50,53,57,,,,,,,,,,,,,,,,,,,,,,,,,47,47,28,45,58,33,48,50,50,60,70,50,42,43,14,,,,,,,,,,,,,,,,,,,,,,,,,60,69,52,,,,,,,,,,,,,,,,,,,,,,,,
5/25/17 5:44,5/25/17 5:51,322.291,,,,,,,76,84,74,,,,,,,,,,,,,84,91,90,,,,,,,,,,,,,,,,,,,,,,,,,83,89,89,,,,89,90,89,,,,,,,,,,,,,77,87,78,,,,,,,,,,,,,90,92,92,,,,,,,80,79,76,,,,82,87,83,,,,83,90,90,87,92,88,,,,,,
5/25/17 5:59,5/25/17 6:04,75.534,,,,100,100,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,97,50,8,23,2,79,89,9,,,,,,,,,,36,64,13,,,,27,44,5,,,,19,76,9,39,87,5,,,,,,,,,,8,58,5,,,,,,,,,,,,,,,,,,,,,,58,56,26,,,,,,,,,,,,
5/25/17 6:07,5/25/17 6:11,21.417,,,,,,,,,,50,75,40,,,,,,,,,,,,,,,,,,,50,75,30,,,,,,,20,50,10,,,,,,,,,,,,,,,,30,50,10,5,15,0,,,,50,50,30,,,,,,,,,,,,,,,,100,100,100,,,,,,,25,50,10,,,,,,,,,,50,100,50,,,,25,25,0,,,
5/25/17 6:07,5/25/17 6:11,27.273,75,41,28,,,,,,,,,,50,80,25,,,,,,,,,,86,45,58,,,,,,,,,,45,80,7,,,,,,,10,90,44,,,,15,50,64,31,55,43,,,,,,,,,,,,,,,,80,25,64,,,,,,,65,62,84,,,,,,,,,,,,,,,,,,,,,,,,,88,31,59,,,,,,
5/25/17 6:10,5/25/17 6:12,26.568,57,46,37,,,,,,,,,,,,,63,56,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,54,46,,,,57,65,45,60,66,48,70,59,47,,,,65,51,42,,,,,,,47,56,43,63,55,41,,,,55,45,40,,,
5/25/17 6:07,5/25/17 6:14,58.822,,,,85,90,75,100,85,100,,,,,,,,,,80,90,95,,,,,,,,,,,,,,,,,,,,,,70,60,95,,,,10,80,5,,,,,,,,,,,,,,,,,,,20,85,60,40,20,70,,,,,,,,,,,,,30,45,60,90,80,65,,,,,,,,,,90,95,90,,,,,,,,,,,,
5/25/17 6:09,5/25/17 6:20,72.046,,,,,,,95,83,35,69,79,29,,,,,,,80,91,98,,,,,,,,,,,,,9,10,5,34,91,28,60,75,87,,,,,,,,,,,,,38,24,17,,,,46,63,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,35,63,,,,,,,,,,,,,,,,65,67,48
5/25/17 6:17,5/25/17 6:21,24.344,71,61,40,55,90,18,,,,,,,,,,30,92,17,,,,66,91,54,,,,,,,,,,,,,,,,,,,,,,81,95,42,,,,77,88,35,,,,,,,,,,,,,20,82,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,80,37,,,,30,91,19,61,91,48,,,,,,
5/25/17 6:07,5/25/17 6:24,721.316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,80,63,,,,93,93,76,46,57,48,64,83,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,24,4,,,,,,,,,,,,,,,,,,,,,,,,,32,33,34,52,69,51,,,,93,99,100,12,12,11,100,100,100
5/25/17 6:26,5/25/17 6:31,26.81,,,,,,,,,,40,70,45,,,,,,,,,,60,55,55,55,45,35,5,15,15,,,,,,,,,,,,,,,,80,70,50,25,20,10,,,,20,20,15,15,20,15,30,25,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,65,50,,,,,,,,,,,,,,,,,,,,,,,,
5/25/17 6:43,5/25/17 6:49,22.299,,,,,,,6,100,5,,,,90,68,46,,,,90,84,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,38,54,,,,,,,,,,,,,76,62,48,3,100,13,,,,,,,33,38,28,,,,79,19,58,,,,,,,42,77,67,72,30,77,,,,,,,,,,,,,,,,,,
