pubyear,earlyyear,n,r,effectid,studyid,attitude,paradigm,fake,figure,obvious,subtle,transformed,es,var
37,38,95,0.17,21111,211,1,p2,80.07317073,79.04878049,58.80487805,27.35772358,0,0.1717,0.010869565
37,38,95,0.29,21112,211,1,p2,80.07317073,79.04878049,58.80487805,27.35772358,0,0.2986,0.010869565
37,38,95,0.12,21113,211,1,p2,80.07317073,79.04878049,58.80487805,27.35772358,0,0.1206,0.010869565
37,38,95,0.17,21114,211,1,p2,80.07317073,79.04878049,58.80487805,27.35772358,0,0.1717,0.010869565
37,38,95,0.29,21115,211,1,p2,80.07317073,79.04878049,58.80487805,27.35772358,0,0.2986,0.010869565
37,38,98,0.57,2121,212,1,p2,80.07317073,79.04878049,58.80487805,27.35772358,0,0.6475,0.010526316
37,38,98,0.52,2122,212,1,p2,80.07317073,79.04878049,58.80487805,27.35772358,0,0.5763,0.010526316
37,38,98,0.48,2123,212,1,p2,80.07317073,79.04878049,58.80487805,27.35772358,0,0.5230,0.010526316
37,38,98,0.04,2124,212,1,p2,80.07317073,79.04878049,58.80487805,27.35772358,0,0.0400,0.010526316
37,38,98,-0.05,2125,212,1,p2,80.07317073,79.04878049,58.80487805,27.35772358,0,-0.0500,0.010526316
37,38,98,-0.11,2126,212,1,p2,80.07317073,79.04878049,58.80487805,27.35772358,0,-0.1104,0.010526316
37,38,98,-0.18,2127,212,1,p2,80.07317073,79.04878049,58.80487805,27.35772358,0,-0.1820,0.010526316
37,38,98,-0.19,2128,212,1,p2,80.07317073,79.04878049,58.80487805,27.35772358,0,-0.1923,0.010526316
37,38,98,-0.24,2129,212,1,p2,80.07317073,79.04878049,58.80487805,27.35772358,0,-0.2448,0.010526316
37,38,98,0.15,21210,212,1,p2,80.07317073,79.04878049,58.80487805,27.35772358,0,0.1511,0.010526316
37,38,98,0.13,21211,212,1,p2,80.07317073,79.04878049,58.80487805,27.35772358,0,0.1307,0.010526316
37,38,98,0.11,21212,212,1,p2,80.07317073,79.04878049,58.80487805,27.35772358,0,0.1104,0.010526316
37,38,98,0.21,21213,212,1,p2,80.07317073,79.04878049,58.80487805,27.35772358,0,0.2132,0.010526316
37,38,98,0.2,21214,212,1,p2,80.07317073,79.04878049,58.80487805,27.35772358,0,0.2027,0.010526316
37,38,98,0.13,21215,212,1,p2,80.07317073,79.04878049,58.80487805,27.35772358,0,0.1307,0.010526316
47,50,33,-0.04,2231,223,0,p18,37.45,23.8,19.45,73.1,0,-0.0400,0.033333333
