r(71)=-0.11
r(72)=0.29
r(578)=0.25
r(578)=0.49
r(58)=-0.21
r(58)=-0.1
r(78)=0.05
r(134)=0.39
r(134)=0.2
r(84)=0.09
r(79)=0.14
r(79)=0.01
r(38)=0.05
r(38)=0.24
r(1653)=0.23
r(1653)=0.28
r(1653)=0.35
r(1653)=0.25
r(1653)=0.33
r(1653)=0.39
r(80)=0.29
r(159)=0.68
r(151)=0.26
r(99)=0.49
r(48)=0.11
r(175)=0.08
r(175)=0.01
r(263)=0.21
r(263)=-0.06
r(318)=0.02
r(318)=-0.02
r(80)=0.21
r(258)=0.18
r(258)=0.22
r(258)=0.08
r(258)=-0.02
r(258)=0.28
r(79)=0.46
r(79)=0.28
r(79)=0.43
r(7498)=0.18
r(1498)=0.21
r(100)=0.12
r(1022)=0.28
r(44)=0.59
r(89)=0.4
r(93)=0.37
r(93)=0.45
r(93)=0.56
r(93)=-0.06
r(93)=-0.11
r(93)=0.16
r(93)=-0.09
r(93)=-0.12
r(93)=0.04
r(93)=0.12
r(93)=0.17
r(93)=0.29
r(93)=0.12
r(93)=0.17
r(93)=0.29
r(96)=0.57
r(96)=0.52
r(96)=0.48
r(96)=0.04
r(96)=-0.05
r(96)=-0.11
r(96)=-0.18
r(96)=-0.19
r(96)=-0.24
r(96)=0.15
r(96)=0.13
r(96)=0.11
r(96)=0.21
r(96)=0.2
r(96)=0.13
r(31)=-0.04
r(31)=0.07
r(31)=0.02
r(31)=0.2
r(38)=0.4
r(38)=0.02
r(38)=-0.14
r(38)=-0.12
r(97)=0.43
r(81)=0.09
r(81)=0.23
r(81)=0.4
r(81)=0.25
r(81)=0.35
r(81)=0.3
r(81)=0.15
r(81)=0.14
r(81)=0.34
r(81)=0.39
r(81)=0.52
r(81)=0.45
r(187)=0.54
r(44)=0.56
r(44)=0.39
r(5990)=0.1
r(21)=0.43
r(35)=0.43
r(41)=0.23
r(42)=0.49
r(46)=0.35
r(46)=0.26
r(56)=0.06
r(138)=0.18
r(138)=0.02
r(72)=-0.11
r(72)=0.12
r(53)=0.29
r(53)=0
r(53)=0.11
r(53)=-0.05
r(53)=-0.1
r(53)=-0.03
r(47)=-0.11
r(83)=-0.06
r(83)=-0.05
r(83)=-0.19
r(75)=0.06
r(75)=0.03
r(75)=-0.15
r(196)=0.12
r(217)=0.04
r(249)=0.14
r(30)=0.76
r(206)=0.32
r(191)=0.23
r(49)=-0.26
r(49)=-0.21
r(82)=0.23
r(98)=0.54
r(98)=0.61
r(152)=0.23
r(221)=0.17
r(221)=0.16
r(295)=0.15
r(295)=0.12
r(295)=0.13
r(295)=0.19
r(295)=0.14
r(295)=0.19
r(295)=0.16
r(295)=0.55
r(295)=0.14
r(295)=0.34
r(295)=0.36
r(32)=0.35
r(32)=0.24
r(134)=0.36
r(28)=0.53
r(39)=0.33
r(39)=0.26
r(39)=0.12
r(39)=-0.08
r(39)=0.02
r(39)=-0.2
r(39)=0.2
r(39)=0.14
r(39)=0.18
r(39)=0.21
r(39)=0.05
r(39)=0.13
r(39)=-0.15
r(39)=0.03
r(39)=0.02
r(1687)=0.28
r(1692)=0.28
r(38)=-0.09
r(44)=-0.14
r(44)=-0.11
r(44)=0.07
r(44)=0.14
r(3803)=0.18
r(3803)=0.21
r(3803)=0.15
r(3803)=0.1
r(3803)=0.25
r(3803)=0.09
r(3803)=0.14
r(142)=0.21
r(43)=0.39
r(43)=0.3
r(35)=0.12
r(35)=-0.03
r(35)=0.05
r(35)=0.04
r(35)=0.22
r(35)=-0.03
r(35)=-0.09
r(35)=-0.06
r(35)=-0.13
r(35)=-0.04
r(98)=0.32
r(98)=0.12
r(98)=0.12
r(98)=0.15
r(35)=0.5
r(32)=0.2
r(18)=0.31
r(14)=-0.18
r(112)=0.05
r(46)=0.3
r(33)=0.54
r(33)=0.44
r(33)=0.51
r(52)=0.85
r(44)=0.36
r(44)=0.34
r(40)=0.07
r(41)=0.66
r(41)=0.43
r(18)=0
r(131)=-0.08
r(131)=0.21
r(131)=0.36
r(131)=0.39
r(121)=-0.11
r(121)=0.11
r(121)=0.42
r(121)=0.21
r(248)=0.25
r(1927)=0.26
r(1927)=0.27
r(39)=0.11
r(39)=0.19
r(140)=0.27
r(145)=0.33
r(145)=0.17
r(62)=0.28
r(62)=0.44
r(2927)=0.31
r(468)=0.21
r(479)=0.14
r(99)=-0.05
r(38)=0.32
r(38)=0.34
